Timestamp,Event,Device,Brand
2026-02-20 03:34:10,add_to_chain,Shure AD4D (ADX1),Shure
2026-02-20 03:34:10,add_to_chain,Shure AD4D (ADX1),Shure
2026-02-20 03:34:10,add_to_chain,Shure AD4D (ADX1),Shure
2026-02-20 03:34:10,add_to_chain,Shure AD4D (ADX1),Shure
2026-02-20 03:34:10,add_to_chain,Shure AD4D (ADX1),Shure
2026-02-20 03:34:10,add_to_chain,Shure AD4D (ADX1),Shure
2026-02-20 03:34:10,add_to_chain,Shure AD4D (ADX1),Shure
2026-02-20 03:34:10,add_to_chain,Shure AD4D (ADX1),Shure
2026-02-20 03:34:10,add_to_chain,Shure AD4D (ADX1),Shure
2026-02-20 03:34:10,add_to_chain,Shure AD4D (ADX1),Shure
2026-02-20 03:34:10,add_to_chain,Shure AD4D (ADX1),Shure
2026-02-20 03:34:10,add_to_chain,Shure AD4D (ADX1),Shure
2026-02-20 03:34:10,add_to_chain,Shure AD4D (ADX1),Shure
2026-02-20 03:34:10,add_to_chain,Shure AD4D (ADX1),Shure
2026-02-20 03:34:10,add_to_chain,Shure AD4D (ADX1),Shure
2026-02-20 03:34:10,add_to_chain,Shure AD4D (ADX1),Shure
2026-02-20 03:34:10,add_to_chain,Shure AD4D (ADX1),Shure
2026-02-20 03:34:10,add_to_chain,Shure AD4D (ADX1),Shure
2026-02-20 03:34:10,add_to_chain,Shure AD4D (ADX1),Shure
2026-02-20 03:34:10,add_to_chain,Shure AD4D (ADX1),Shure
2026-02-20 03:34:10,add_to_chain,Shure AD4D (ADX1),Shure
2026-02-20 03:34:10,add_to_chain,Shure AD4D (ADX1),Shure
2026-02-20 03:34:10,add_to_chain,Shure AD4D (ADX1),Shure
2026-02-20 03:34:10,add_to_chain,Shure AD4D (ADX1),Shure

2026-02-20 03:54:30,add_to_chain,Shure AD4D (ADX1),Shure,b7cac77a-b96c-4ce3-a1fa-ba2c6aa7c981
2026-02-20 03:54:34,add_to_chain,Allen & Heath dLive MixRack (High Density),Allen,b7cac77a-b96c-4ce3-a1fa-ba2c6aa7c981
2026-02-20 04:02:11,add_to_chain,Allen & Heath CDM48 (Dante128x128) (96kHz),Allen,b7cac77a-b96c-4ce3-a1fa-ba2c6aa7c981
2026-02-20 04:02:12,add_to_chain,Allen & Heath dLive MixRack (High Density),Allen,b7cac77a-b96c-4ce3-a1fa-ba2c6aa7c981
2026-02-20 04:02:13,add_to_chain,Allen & Heath dLive MixRack (High Density),Allen,b7cac77a-b96c-4ce3-a1fa-ba2c6aa7c981
2026-02-20 04:18:56,add_to_chain,Shure Axient Digital AD4D/AD4Q (High Density),Shure,b7cac77a-b96c-4ce3-a1fa-ba2c6aa7c981
2026-02-20 04:20:44,add_to_chain,Allen & Heath dLive MixRack (High Density),Allen,b7cac77a-b96c-4ce3-a1fa-ba2c6aa7c981
2026-02-20 04:20:48,add_to_chain,DiGiCo S21,DiGiCo,b7cac77a-b96c-4ce3-a1fa-ba2c6aa7c981
2026-02-20 04:20:50,add_to_chain,DiGiCo S21 (Optocore),DiGiCo,b7cac77a-b96c-4ce3-a1fa-ba2c6aa7c981
2026-02-20 04:51:32,add_to_chain,DiGiCo Quantum 112,DiGiCo,b7cac77a-b96c-4ce3-a1fa-ba2c6aa7c981
2026-02-20 04:51:45,add_to_chain,DiGiCo SD‑Rack,DiGiCo,b7cac77a-b96c-4ce3-a1fa-ba2c6aa7c981
2026-02-20 05:04:51,add_to_chain,DiGiCo SD‑Rack,DiGiCo,b7cac77a-b96c-4ce3-a1fa-ba2c6aa7c981
